type,a,b,c,d,e,f,g,h,i,j,k,l,m
1,5.04,8,714,176,2.00,1.00,0.00,0.00,3.00,100.00,0.00,0.00,0.00
-1,0.12,44,192,192,0.00,0.00,0.00,0.00,58.00,94.00,1.00,0.00,0.00
1,4.60,8,657,176,2.00,1.00,0.00,0.00,8.00,100.00,0.00,0.00,0.00
1,4.64,8,617,176,3.00,1.00,0.00,0.00,9.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.75,1.00,1.00,1.00,1.00,1.00
-1,0.00,49,376,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,4.66,8,639,176,3.00,1.00,0.00,0.00,10.00,100.00,0.00,0.00,0.00
1,4.66,8,625,176,4.00,1.00,0.00,0.00,11.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,1.00
1,0.50,8,0,8,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.79,8,617,176,1.00,1.00,0.00,0.00,12.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
1,4.67,8,616,176,2.00,1.00,0.00,0.00,13.00,100.00,0.00,0.00,0.00
1,5.13,8,689,176,3.00,1.00,0.00,0.00,4.00,100.00,0.00,0.00,0.00
-1,1.10,49,128,219,0.00,0.00,0.00,1.00,4.00,15.00,0.00,0.00,0.00
1,4.69,8,627,176,4.00,1.00,0.00,0.00,14.00,100.00,0.00,0.00,0.00
1,4.69,8,621,176,5.00,1.00,0.00,0.00,15.00,100.00,0.00,0.00,0.00
1,10.25,8,2237,167,6.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,1.00
1,637.03,8,0,106,7.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.67,0.00,1.00,0.00,0.00,1.00
1,3.62,8,7106,245,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.77,8,658,176,1.00,1.00,0.00,0.00,16.00,100.00,0.00,0.00,0.00
1,35.15,8,5114,245,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
1,3.56,8,2226,167,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
