a,b,c,d,e,f,g,h,i,j,k,l,m
-0.11934041,-0.93504035,-0.09377738,-0.032999612,0.0022882018,0.93045443,-0.07727383,-0.62375355,-0.41228986,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18607667,0.8304822,-0.17672557,-0.032502517,-0.7017733,-1.0762843,-0.07727383,-0.62375355,3.6723614,0.79415816,7.5816236,-0.05374304,-0.37467143
-0.1253087,-0.93504035,-0.10283495,-0.032999612,0.0022882018,0.93045443,-0.07727383,-0.62375355,-0.040957935,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.12476612,-0.93504035,-0.10919113,-0.032999612,0.35431895,0.93045443,-0.07727383,-0.62375355,0.03330845,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,1.4745893,-0.5608226,-1.1853042,7.5816236,22.062735,2.6951616
-0.18770438,1.0756936,-0.14748713,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-1.2065886,-0.19168988,-0.05374304,-0.37467143
-0.12449484,-0.93504035,-0.105695225,-0.032999612,0.35431895,0.93045443,-0.07727383,-0.62375355,0.107574835,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.12449484,-0.93504035,-0.107919894,-0.032999612,0.7063497,0.93045443,-0.07727383,-0.62375355,0.18184122,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.5608226,-1.1853042,7.5816236,22.062735,2.6951616
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-1.2065886,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-1.1640196,-0.19168988,-0.05374304,2.6951616
-0.18092224,-0.93504035,-0.20723525,-0.038219094,-0.7017733,-1.0762843,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.122731484,-0.93504035,-0.10919113,-0.032999612,-0.34974253,0.93045443,-0.07727383,-0.62375355,0.2561076,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-1.1853042,-0.19168988,-0.05374304,2.6951616
-0.12435919,-0.93504035,-0.10935003,-0.032999612,0.0022882018,0.93045443,-0.07727383,-0.62375355,0.330374,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.11811963,-0.93504035,-0.09775,-0.032999612,0.35431895,0.93045443,-0.07727383,-0.62375355,-0.33802348,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.17278367,1.0756936,-0.18689546,-0.031663675,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.33802348,-0.8873206,-0.19168988,-0.05374304,-0.37467143
-0.124087915,-0.93504035,-0.10760208,-0.032999612,0.7063497,0.93045443,-0.07727383,-0.62375355,0.40464038,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.124087915,-0.93504035,-0.10855551,-0.032999612,1.0583804,0.93045443,-0.07727383,-0.62375355,0.47890675,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.048670508,-0.93504035,0.14823428,-0.033279225,1.4104112,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,0.7751417,-0.63508904,-1.1853042,-0.19168988,-0.05374304,2.6951616
8.45315,-0.93504035,-0.20723525,-0.035174396,1.762442,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,0.7751417,-0.63508904,-1.1853042,-0.19168988,-0.05374304,2.6951616
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,1.2507662,-0.63508904,-1.1853042,-0.19168988,-0.05374304,2.6951616
-0.13860169,-0.93504035,0.9219407,-0.030855896,-0.7017733,-1.0762843,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.123002775,-0.93504035,-0.10267604,-0.032999612,-0.34974253,0.93045443,-0.07727383,-0.62375355,0.5531731,0.9218654,-0.19168988,-0.05374304,-0.37467143
0.28908008,-0.93504035,0.60540277,-0.030855896,0.0022882018,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-1.1853042,-0.19168988,-0.05374304,2.6951616
-0.13941555,-0.93504035,0.14648634,-0.033279225,0.35431895,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.12476612,-0.93504035,-0.10633085,-0.032999612,0.7063497,0.93045443,-0.07727383,-0.62375355,0.62743956,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.123545334,-0.93504035,-0.09822671,-0.032999612,1.0583804,0.93045443,-0.07727383,-0.62375355,-0.26375708,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.17142725,1.0756936,-0.18689546,-0.031663675,-0.7017733,-1.0762843,-0.07727383,2.174037,-0.63508904,-0.866036,-0.19168988,-0.05374304,-0.37467143
-0.12246019,-0.93504035,-0.09965685,-0.032999612,1.4104112,0.93045443,-0.07727383,-0.62375355,0.70170593,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.12151069,-0.93504035,-0.100292474,-0.032999612,1.762442,0.93045443,-0.07727383,-0.62375355,0.7759723,0.9218654,-0.19168988,-0.05374304,-0.37467143
0.29328498,-0.93504035,5.939512,-0.035547215,2.1144726,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,-0.93504035,-0.20723525,-0.03846764,1.4104112,0.93045443,-0.07727383,-0.62375355,-0.41228986,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,-0.93504035,-0.20723525,-0.03846764,1.762442,0.93045443,-0.07727383,-0.62375355,-0.33802348,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.1582699,-0.93504035,0.9243243,-0.030855896,2.1144726,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.15772733,-0.93504035,0.6263782,-0.030855896,2.4665034,0.93045443,-0.07727383,-0.62375355,-0.63508904,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.09139799,1.0756936,0.18573576,0.008694103,-0.34974253,0.93045443,-0.07727383,-0.62375355,-0.5608226,-0.8447515,-0.19168988,-0.05374304,-0.37467143
0.702655,-0.93504035,-0.20723525,-0.03846764,2.8185341,0.93045443,-0.07727383,-0.62375355,-0.1894907,0.9218654,-0.19168988,-0.05374304,-0.37467143
0.7049609,-0.93504035,-0.20723525,-0.03846764,3.170565,0.93045443,-0.07727383,-0.62375355,-0.11522432,0.9218654,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,-0.62375355,-0.63508904,-1.2065886,-0.19168988,-0.05374304,-0.37467143
-0.18770438,1.0756936,-0.20723525,-0.03846764,-0.7017733,-1.0762843,-0.07727383,0.29951736,-0.63508904,-1.2065886,-0.19168988,-0.05374304,-0.37467143
-0.17264804,1.0756936,-0.18689546,-0.031663675,-0.7017733,-1.0762843,-0.07727383,-0.62375355,-0.26375708,-0.82346696,-0.19168988,-0.05374304,-0.37467143
