a,b
-0.11698276,0.7410669
-0.9690555,1.048351
0.557575,1.1849216
-1.0400617,0.7752097
-0.7915404,-0.112499736
0.84159917,1.0142084
0.27355057,0.26306957
1.0546174,0.22892694
0.025029348,1.6287764
-1.0045586,-0.96606654
0.27355057,-0.8977811
1.1966294,0.26306957
-1.6436132,0.1947843
1.0546174,1.3897775
-1.2885829,-0.35149848
0.98361117,-0.5563544
-1.6436132,1.048351
-0.4010071,-0.35149848
0.5220718,1.5946336
0.66408396,-0.69292516
-0.15248576,0.7752097
-0.9690555,-1.5806346
1.2676356,-1.6489199
0.27355057,-0.76121044
-1.3595889,-0.010071724
-1.0400617,0.4679256
-0.18798886,-1.1026372
0.20254456,-1.6147772
1.2321327,0.43378296
-0.6850313,0.843495
1.4451509,-1.6147772
1.0901204,0.70692426
-0.18798886,0.16064167
1.3031386,1.1507789
-1.0045586,-0.69292516
-0.010473652,-0.48806915
0.66408396,-1.5123491
-0.25899488,-0.69292516
1.1611264,0.5703537
-0.33000097,0.05821355
-0.33000097,-0.96606654
-0.36550397,1.1507789
-1.2530798,0.4679256
0.59307796,0.12649882
0.025029348,-0.5563544
0.8060962,0.638639
-0.4010071,0.1947843
1.1611264,-0.2832131
-0.4010071,-0.35149848
-0.4010071,1.0824937
-0.15248576,1.3897775
-0.25899488,-1.2050653
-1.2885829,-1.4440639
-0.33000097,1.4922057
-0.22349186,-0.010071724
0.09603535,1.0824937
0.27355057,1.6970618
0.30905357,-1.2733505
0.45106578,1.560491
1.658169,-1.6489199
1.1966294,1.6970618
-0.7560374,-1.1709225
-0.72053427,1.3214923
-0.5430192,-0.7953532
-1.430595,0.39964032
1.5516598,-1.2392079
0.27355057,-0.31735575
1.6226659,0.5020682
1.2676356,-1.6830626
1.764678,0.9459229
-1.1110677,-1.4099213
-1.2175769,0.39964032
0.38005978,1.2873497
0.48656878,0.16064167
1.5871629,-0.21492775
1.3386416,1.2190645
1.3386416,-0.4539264
-0.22349186,0.1947843
-1.324086,-0.38564113
-0.4010071,0.5020682
-1.2530798,1.2873497
0.48656878,0.8093524
-0.8980495,0.12649882
-0.5430192,1.560491
1.1966294,-1.1026372
1.658169,1.2532071
1.3031386,-1.5464919
1.3031386,-0.112499736
0.38005978,-0.35149848
-1.6791162,-0.010071724
-0.7915404,-0.14664248
-1.430595,-1.5806346
0.41556278,1.0142084
0.66408396,0.4679256
-0.29449797,1.1166363
-0.010473652,-0.41978377
-0.5785222,-1.0002092
1.7291751,1.3897775
-0.8980495,1.6287764
1.658169,1.560491
-0.9335525,0.843495
0.27355057,0.2972122
-0.18798886,0.4679256
-0.8270434,-0.0783571
-0.36550397,-1.3074931
0.38005978,0.16064167
-1.0045586,1.662919
0.20254456,-0.59049714
1.0901204,0.024070913
0.699587,-1.0343518
-0.4720131,0.60449636
-1.6081101,0.9800655
1.6226659,-1.2392079
-0.9690555,1.048351
-0.6850313,-0.38564113
1.3031386,-1.0343518
1.658169,0.67278165
-0.9335525,1.3556349
-0.7560374,0.5362109
1.1611264,-1.5123491
-0.5075161,-0.38564113
0.628581,0.33135486
-1.1465707,-0.86363846
0.45106578,1.1507789
-1.1465707,-0.82949585
0.5220718,-1.6489199
0.41556278,0.26306957
0.628581,-1.4099213
-0.8980495,-1.3416358
-1.6791162,-1.1709225
-0.8980495,0.9800655
0.34455678,-1.5123491
-0.22349186,-1.6489199
0.16704156,1.4922057
0.23804756,0.12649882
-1.5016011,1.1507789
-0.010473652,-0.31735575
-0.8625465,-0.9319238
-0.9690555,0.5362109
0.23804756,0.9800655
1.1966294,-1.1367799
1.2321327,-1.6147772
-0.7560374,-1.3074931
-1.3595889,1.3556349
-1.430595,-1.2392079
-0.33000097,-0.7270678
-0.4365101,-1.5464919
-0.6850313,-1.3416358
0.27355057,-1.0343518
0.025029348,0.9800655
1.5516598,0.9459229
1.6226659,1.3214923
1.1611264,-0.010071724
0.557575,-0.76121044
-1.5726072,-1.5806346
-0.9690555,0.12649882
1.3386416,0.9459229
0.30905357,0.8093524
-0.6140252,1.1849216
-1.1465707,-1.3416358
-1.7146193,0.843495
1.4451509,-0.6587824
-1.5726072,0.9459229
-1.6791162,1.0142084
-1.2175769,1.5946336
1.658169,0.16064167
0.060532346,0.09235618
-0.15248576,-1.0684944
1.5871629,0.5703537
-0.8980495,1.0142084
-1.1465707,-1.6489199
1.6936721,1.1166363
-0.6140252,-0.0783571
-0.8625465,1.4239204
-1.6081101,-0.010071724
-1.6791162,1.560491
-0.4010071,-1.3416358
1.6936721,0.638639
0.38005978,-0.5222118
-0.7915404,-0.6587824
-0.8270434,-0.86363846
-0.25899488,0.4679256
-1.6436132,-0.010071724
0.09603535,-0.59049714
1.1966294,-0.5563544
0.025029348,-1.4782065
0.060532346,0.9800655
1.6226659,-0.5563544
-0.6850313,-1.6147772
0.59307796,-0.010071724
1.5871629,0.09235618
0.59307796,-0.41978377
1.2321327,-0.24907048
0.77059317,1.3214923
-0.15248576,-1.0343518
1.4451509,0.8093524
-1.3950919,-0.4539264
1.5516598,-0.6246398
-0.7915404,-1.4782065
-1.0755647,-0.112499736
